node,core_number,in_backbone
9606.ENSP00000249504,3,False
9606.ENSP00000285735,13,False
9606.ENSP00000376322,3,False
9606.ENSP00000386498,3,False
9606.ENSP00000297261,28,False
9606.ENSP00000249499,3,False
9606.ENSP00000315949,1,False
9606.ENSP00000249442,3,False
9606.ENSP00000312385,1,False
9606.ENSP00000297185,20,False
9606.ENSP00000357012,13,False
9606.ENSP00000311005,8,False
9606.ENSP00000368884,15,False
9606.ENSP00000440864,20,False
9606.ENSP00000435412,19,False
9606.ENSP00000422435,15,False
9606.ENSP00000299767,23,False
9606.ENSP00000302961,34,False
9606.ENSP00000363089,37,True
9606.ENSP00000324173,26,False
9606.ENSP00000302476,20,False
9606.ENSP00000303394,20,False
9606.ENSP00000320866,23,False
9606.ENSP00000351255,27,False
9606.ENSP00000480791,37,True
9606.ENSP00000300289,19,False
9606.ENSP00000442920,17,False
9606.ENSP00000446252,21,False
9606.ENSP00000465261,5,False
9606.ENSP00000263317,8,False
9606.ENSP00000367851,23,False
9606.ENSP00000293328,37,True
9606.ENSP00000263864,3,False
9606.ENSP00000389913,3,False
9606.ENSP00000263897,1,False
9606.ENSP00000406162,30,False
9606.ENSP00000363314,15,False
9606.ENSP00000369757,21,False
9606.ENSP00000352257,32,False
9606.ENSP00000262300,15,False
9606.ENSP00000288207,34,False
9606.ENSP00000481380,34,False
9606.ENSP00000303706,32,False
9606.ENSP00000311083,24,False
9606.ENSP00000361540,34,False
9606.ENSP00000321656,34,False
9606.ENSP00000302530,34,False
9606.ENSP00000245796,1,False
9606.ENSP00000298316,15,False
9606.ENSP00000418008,3,False
9606.ENSP00000382342,2,False
9606.ENSP00000348944,12,False
9606.ENSP00000463069,14,False
9606.ENSP00000372547,10,False
9606.ENSP00000379204,15,False
9606.ENSP00000441954,15,False
9606.ENSP00000299001,5,False
9606.ENSP00000245255,5,False
9606.ENSP00000244745,10,False
9606.ENSP00000259915,32,False
9606.ENSP00000265165,27,False
9606.ENSP00000264657,37,True
9606.ENSP00000384629,11,False
9606.ENSP00000477870,31,False
9606.ENSP00000361473,22,False
9606.ENSP00000367203,29,False
9606.ENSP00000372351,22,False
9606.ENSP00000262189,25,False
9606.ENSP00000301067,23,False
9606.ENSP00000268712,34,False
9606.ENSP00000320485,30,False
9606.ENSP00000262367,34,False
9606.ENSP00000340883,26,False
9606.ENSP00000358151,33,False
9606.ENSP00000358155,32,False
9606.ENSP00000332194,32,False
9606.ENSP00000344504,22,False
9606.ENSP00000305918,11,False
9606.ENSP00000378702,22,False
9606.ENSP00000377001,21,False
9606.ENSP00000345571,34,False
9606.ENSP00000335044,16,False
9606.ENSP00000378181,17,False
9606.ENSP00000386593,21,False
9606.ENSP00000359339,18,False
9606.ENSP00000369213,30,False
9606.ENSP00000471896,32,False
9606.ENSP00000369581,37,True
9606.ENSP00000370034,32,False
9606.ENSP00000380697,31,False
9606.ENSP00000320898,26,False
9606.ENSP00000396052,4,False
9606.ENSP00000494957,27,False
9606.ENSP00000338171,9,False
9606.ENSP00000346671,37,True
9606.ENSP00000354782,30,False
9606.ENSP00000453508,26,False
9606.ENSP00000243924,3,False
9606.ENSP00000366563,37,True
9606.ENSP00000342082,3,False
9606.ENSP00000243440,5,False
9606.ENSP00000465894,5,False
9606.ENSP00000454623,37,True
9606.ENSP00000263087,27,False
9606.ENSP00000370343,27,False
9606.ENSP00000259392,2,False
9606.ENSP00000345728,3,False
9606.ENSP00000363329,2,False
9606.ENSP00000242839,2,False
9606.ENSP00000328137,3,False
9606.ENSP00000381607,16,False
9606.ENSP00000443432,19,False
9606.ENSP00000493906,4,False
9606.ENSP00000242057,7,False
9606.ENSP00000351407,16,False
9606.ENSP00000267163,34,False
9606.ENSP00000481249,14,False
9606.ENSP00000422464,30,False
9606.ENSP00000451040,30,False
9606.ENSP00000366024,19,False
9606.ENSP00000497910,25,False
9606.ENSP00000375629,19,False
9606.ENSP00000478289,30,False
9606.ENSP00000399168,19,False
9606.ENSP00000371327,20,False
9606.ENSP00000341637,13,False
9606.ENSP00000342156,20,False
9606.ENSP00000362181,18,False
9606.ENSP00000461947,17,False
9606.ENSP00000402060,16,False
9606.ENSP00000290551,5,False
9606.ENSP00000360025,18,False
9606.ENSP00000363868,12,False
9606.ENSP00000263645,26,False
9606.ENSP00000355751,23,False
9606.ENSP00000356946,37,True
9606.ENSP00000433642,37,True
9606.ENSP00000264832,37,True
9606.ENSP00000303208,12,False
9606.ENSP00000380948,37,True
9606.ENSP00000294728,37,True
9606.ENSP00000496959,37,True
9606.ENSP00000263686,30,False
9606.ENSP00000297268,26,False
9606.ENSP00000292301,37,True
9606.ENSP00000376197,26,False
9606.ENSP00000300060,26,False
9606.ENSP00000339328,16,False
9606.ENSP00000263341,37,True
9606.ENSP00000331736,27,False
9606.ENSP00000398698,37,True
9606.ENSP00000361359,37,True
9606.ENSP00000262262,27,False
9606.ENSP00000394936,9,False
9606.ENSP00000416066,15,False
9606.ENSP00000357452,3,False
9606.ENSP00000236671,13,False
9606.ENSP00000333298,24,False
9606.ENSP00000345672,18,False
9606.ENSP00000365230,34,False
9606.ENSP00000357981,19,False
9606.ENSP00000252486,31,False
9606.ENSP00000360242,30,False
9606.ENSP00000361850,20,False
9606.ENSP00000349436,4,False
9606.ENSP00000264926,28,False
9606.ENSP00000368458,32,False
9606.ENSP00000316176,30,False
9606.ENSP00000267430,32,False
9606.ENSP00000343526,15,False
9606.ENSP00000393139,27,False
9606.ENSP00000265433,32,False
9606.ENSP00000298139,32,False
9606.ENSP00000343741,32,False
9606.ENSP00000310520,32,False
9606.ENSP00000307853,32,False
9606.ENSP00000310842,32,False
9606.ENSP00000363017,32,False
9606.ENSP00000235310,18,False
9606.ENSP00000287598,34,False
9606.ENSP00000480987,32,False
9606.ENSP00000234313,18,False
9606.ENSP00000483570,30,False
9606.ENSP00000356231,18,False
9606.ENSP00000274376,22,False
9606.ENSP00000316029,27,False
9606.ENSP00000375892,34,False
9606.ENSP00000249071,23,False
9606.ENSP00000304895,37,True
9606.ENSP00000262629,27,False
9606.ENSP00000233809,7,False
9606.ENSP00000311360,32,False
9606.ENSP00000323099,32,False
9606.ENSP00000312995,30,False
9606.ENSP00000500891,22,False
9606.ENSP00000337332,23,False
9606.ENSP00000317039,29,False
9606.ENSP00000416739,12,False
9606.ENSP00000438483,21,False
9606.ENSP00000257570,11,False
9606.ENSP00000354394,37,True
9606.ENSP00000315768,27,False
9606.ENSP00000306884,37,True
9606.ENSP00000305651,37,True
9606.ENSP00000302111,16,False
9606.ENSP00000331897,18,False
9606.ENSP00000306561,18,False
9606.ENSP00000309572,26,False
9606.ENSP00000352798,18,False
9606.ENSP00000358140,12,False
9606.ENSP00000319169,30,False
9606.ENSP00000357189,9,False
9606.ENSP00000339992,18,False
9606.ENSP00000268150,9,False
9606.ENSP00000289361,1,False
9606.ENSP00000452786,30,False
9606.ENSP00000301178,17,False
9606.ENSP00000348170,15,False
9606.ENSP00000352071,33,False
9606.ENSP00000362108,18,False
9606.ENSP00000466090,17,False
9606.ENSP00000237014,15,False
9606.ENSP00000315130,16,False
9606.ENSP00000362924,17,False
9606.ENSP00000400341,17,False
9606.ENSP00000259396,11,False
9606.ENSP00000297029,14,False
9606.ENSP00000255030,31,False
9606.ENSP00000231751,15,False
9606.ENSP00000236850,16,False
9606.ENSP00000378517,29,False
9606.ENSP00000291009,6,False
9606.ENSP00000420174,7,False
9606.ENSP00000391594,7,False
9606.ENSP00000419945,16,False
9606.ENSP00000416330,7,False
9606.ENSP00000254480,27,False
9606.ENSP00000263377,31,False
9606.ENSP00000325690,31,False
9606.ENSP00000262160,34,False
9606.ENSP00000291890,27,False
9606.ENSP00000442460,13,False
9606.ENSP00000305372,16,False
9606.ENSP00000386884,37,True
9606.ENSP00000311127,29,False
9606.ENSP00000355718,13,False
9606.ENSP00000363377,30,False
9606.ENSP00000384273,37,True
9606.ENSP00000483825,31,False
9606.ENSP00000365851,33,False
9606.ENSP00000398736,10,False
9606.ENSP00000244869,22,False
9606.ENSP00000342235,37,True
9606.ENSP00000267101,37,True
9606.ENSP00000265171,37,True
9606.ENSP00000404131,37,True
9606.ENSP00000287842,17,False
9606.ENSP00000317272,37,True
9606.ENSP00000294954,9,False
9606.ENSP00000256078,37,True
9606.ENSP00000282397,37,True
9606.ENSP00000261799,37,True
9606.ENSP00000257290,37,True
9606.ENSP00000288135,37,True
9606.ENSP00000393312,37,True
9606.ENSP00000369375,37,True
9606.ENSP00000339824,37,True
9606.ENSP00000414303,37,True
9606.ENSP00000384675,36,False
9606.ENSP00000264036,13,False
9606.ENSP00000284240,27,False
9606.ENSP00000415579,2,False
9606.ENSP00000313950,34,False
9606.ENSP00000362674,28,False
9606.ENSP00000377536,34,False
9606.ENSP00000402084,28,False
9606.ENSP00000298556,10,False
9606.ENSP00000302728,7,False
9606.ENSP00000375809,28,False
9606.ENSP00000370938,18,False
9606.ENSP00000264932,13,False
9606.ENSP00000372191,17,False
9606.ENSP00000410402,17,False
9606.ENSP00000310170,13,False
9606.ENSP00000344352,22,False
9606.ENSP00000327048,11,False
9606.ENSP00000278568,15,False
9606.ENSP00000358866,28,False
9606.ENSP00000311032,37,True
9606.ENSP00000382423,29,False
9606.ENSP00000365745,22,False
9606.ENSP00000252229,15,False
9606.ENSP00000356320,13,False
9606.ENSP00000338130,25,False
9606.ENSP00000315997,19,False
9606.ENSP00000296545,37,True
9606.ENSP00000484431,20,False
9606.ENSP00000229708,14,False
9606.ENSP00000240618,29,False
9606.ENSP00000246551,21,False
9606.ENSP00000252483,15,False
9606.ENSP00000326432,37,True
9606.ENSP00000363804,28,False
9606.ENSP00000370270,13,False
